pid,os,platform,model,submodel
2501FRAD-FX,ios,c2k,c2500,
2501LANFRAD-FX,ios,c2k,c2500,
8201,iosxr,spitfire,8200,
8201-32FH,iosxr,spitfire,8200,
8202,iosxr,spitfire,8200,
8202-32FH-M,iosxr,spitfire,8200,
8804,iosxr,spitfire,8800,
8808,iosxr,spitfire,8800,
8812,iosxr,spitfire,8800,
8818,iosxr,spitfire,8800,
ASR-9001,iosxr,asr9k,asr9000,
ASR-9001-S,iosxr,asr9k,asr9000,
ASR-9006-SYS,iosxr,asr9k,asr9000,
ASR-9010-SYS,iosxr,asr9k,asr9000,
ASR-9901,iosxr,asr9k,asr9900,
ASR-9903,iosxr,asr9k,asr9900,
ASR-9904,iosxr,asr9k,asr9900,
ASR-9906,iosxr,asr9k,asr9900,
ASR-9910,iosxr,asr9k,asr9900,
ASR-9912,iosxr,asr9k,asr9900,
ASR-9922,iosxr,asr9k,asr9900,
ASR1001,iosxe,asr1k,asr1000,
ASR1001-2XOC3POS,iosxe,asr1k,asr1000,
ASR1001-4X1GE,iosxe,asr1k,asr1000,
ASR1001-4XT3,iosxe,asr1k,asr1000,
ASR1001-8XCHT1E1,iosxe,asr1k,asr1000,
ASR1001-HDD,iosxe,asr1k,asr1000,
ASR1002,iosxe,asr1k,asr1000,
ASR1002-F,iosxe,asr1k,asr1000,
ASR1004,iosxe,asr1k,asr1000,
ASR1006,iosxe,asr1k,asr1000,
ASR1006-X,iosxe,asr1k,asr1000,
ASR1013,iosxe,asr1k,asr1000,
C1000-16FP-2G-L,iosxe,cat1k,c1000,
C1000-16P-2G-L,iosxe,cat1k,c1000,
C1000-16P-E-2G-L,iosxe,cat1k,c1000,
C1000-16T-2G-L,iosxe,cat1k,c1000,
C1000-16T-E-2G-L,iosxe,cat1k,c1000,
C1000-24FP-4G-L,iosxe,cat1k,c1000,
C1000-24FP-4X-L,iosxe,cat1k,c1000,
C1000-24P-4G-L,iosxe,cat1k,c1000,
C1000-24P-4X-L,iosxe,cat1k,c1000,
C1000-24PP-4G-L,iosxe,cat1k,c1000,
C1000-24T-4G-L,iosxe,cat1k,c1000,
C1000-24T-4X-L,iosxe,cat1k,c1000,
C1000-48FP-4G-L,iosxe,cat1k,c1000,
C1000-48FP-4X-L,iosxe,cat1k,c1000,
C1000-48P-4G-L,iosxe,cat1k,c1000,
C1000-48P-4X-L,iosxe,cat1k,c1000,
C1000-48PP-4G-L,iosxe,cat1k,c1000,
C1000-48T-4G-L,iosxe,cat1k,c1000,
C1000-48T-4X-L,iosxe,cat1k,c1000,
C1000-8FP-2G-L,iosxe,cat1k,c1000,
C1000-8FP-E-2G-L,iosxe,cat1k,c1000,
C1000-8P-2G-L,iosxe,cat1k,c1000,
C1000-8P-E-2G-L,iosxe,cat1k,c1000,
C1000-8T-2G-L,iosxe,cat1k,c1000,
C1000-8T-E-2G-L,iosxe,cat1k,c1000,
C1000FE-24P-4G-L,iosxe,cat1k,c1000,
C1000FE-24T-4G-L,iosxe,cat1k,c1000,
C1000FE-48P-4G-L,iosxe,cat1k,c1000,
C1000FE-48T-4G-L,iosxe,cat1k,c1000,
C1100TG-1N32A,iosxe,isr,c1100,
C1101-4P,ios,c1k,c1100,
C1101-4PLTEP,ios,c1k,c1100,
C1101-4PLTEPWA,ios,c1k,c1100,
C1101-4PLTEPWB,ios,c1k,c1100,
C1101-4PLTEPWD,ios,c1k,c1100,
C1101-4PLTEPWE,ios,c1k,c1100,
C1101-4PLTEPWF,ios,c1k,c1100,
C1101-4PLTEPWH,ios,c1k,c1100,
C1101-4PLTEPWN,ios,c1k,c1100,
C1101-4PLTEPWQ,ios,c1k,c1100,
C1101-4PLTEPWR,ios,c1k,c1100,
C1101-4PLTEPWZ,ios,c1k,c1100,
C1109-2PLTEAU,ios,c1k,c1100,
C1109-2PLTEGB,ios,c1k,c1100,
C1109-2PLTEIN,ios,c1k,c1100,
C1109-2PLTEJN,ios,c1k,c1100,
C1109-2PLTEUS,ios,c1k,c1100,
C1109-2PLTEVZ,ios,c1k,c1100,
C1109-4PLTE2P,ios,c1k,c1100,
C1109-4PLTE2PWA,ios,c1k,c1100,
C1109-4PLTE2PWB,ios,c1k,c1100,
C1109-4PLTE2PWD,ios,c1k,c1100,
C1109-4PLTE2PWE,ios,c1k,c1100,
C1109-4PLTE2PWF,ios,c1k,c1100,
C1109-4PLTE2PWH,ios,c1k,c1100,
C1109-4PLTE2PWN,ios,c1k,c1100,
C1109-4PLTE2PWQ,ios,c1k,c1100,
C1109-4PLTE2PWR,ios,c1k,c1100,
C1109-4PLTE2PWZ,ios,c1k,c1100,
C1111-4P,ios,c1k,c1100,
C1111-4PLTEEA,ios,c1k,c1100,
C1111-4PLTELA,ios,c1k,c1100,
C1111-4PWA,ios,c1k,c1100,
C1111-4PWB,ios,c1k,c1100,
C1111-4PWD,ios,c1k,c1100,
C1111-4PWE,ios,c1k,c1100,
C1111-4PWF,ios,c1k,c1100,
C1111-4PWH,ios,c1k,c1100,
C1111-4PWN,ios,c1k,c1100,
C1111-4PWQ,ios,c1k,c1100,
C1111-4PWR,ios,c1k,c1100,
C1111-4PWZ,ios,c1k,c1100,
C1111-8P,ios,c1k,c1100,
C1111-8PLTEEA,ios,c1k,c1100,
C1111-8PLTEEAWA,ios,c1k,c1100,
C1111-8PLTEEAWB,ios,c1k,c1100,
C1111-8PLTEEAWE,ios,c1k,c1100,
C1111-8PLTEEAWR,ios,c1k,c1100,
C1111-8PLTELA,ios,c1k,c1100,
C1111-8PLTELAWD,ios,c1k,c1100,
C1111-8PLTELAWF,ios,c1k,c1100,
C1111-8PLTELAWH,ios,c1k,c1100,
C1111-8PLTELAWN,ios,c1k,c1100,
C1111-8PLTELAWQ,ios,c1k,c1100,
C1111-8PLTELAWS,ios,c1k,c1100,
C1111-8PLTELAWZ,ios,c1k,c1100,
C1111-8PWA,ios,c1k,c1100,
C1111-8PWB,ios,c1k,c1100,
C1111-8PWE,ios,c1k,c1100,
C1111-8PWF,ios,c1k,c1100,
C1111-8PWH,ios,c1k,c1100,
C1111-8PWN,ios,c1k,c1100,
C1111-8PWQ,ios,c1k,c1100,
C1111-8PWR,ios,c1k,c1100,
C1111-8PWS,ios,c1k,c1100,
C1111-8PWZ,ios,c1k,c1100,
C1111X-8P,ios,c1k,c1100,
C1112-8P,ios,c1k,c1100,
C1112-8PLTEEA,ios,c1k,c1100,
C1112-8PLTEEAWE,ios,c1k,c1100,
C1112-8PWE,ios,c1k,c1100,
C1113-8P,ios,c1k,c1100,
C1113-8PLTEEA,ios,c1k,c1100,
C1113-8PLTEEAWB,ios,c1k,c1100,
C1113-8PLTEEAWE,ios,c1k,c1100,
C1113-8PLTELA,ios,c1k,c1100,
C1113-8PLTELAWA,ios,c1k,c1100,
C1113-8PLTELAWZ,ios,c1k,c1100,
C1113-8PM,ios,c1k,c1100,
C1113-8PMLTEEA,ios,c1k,c1100,
C1113-8PMWE,ios,c1k,c1100,
C1113-8PWA,ios,c1k,c1100,
C1113-8PWB,ios,c1k,c1100,
C1113-8PWE,ios,c1k,c1100,
C1113-8PWZ,ios,c1k,c1100,
C1116-4P,ios,c1k,c1100,
C1116-4PLTEEA,ios,c1k,c1100,
C1116-4PLTEEAWE,ios,c1k,c1100,
C1116-4PWE,ios,c1k,c1100,
C1117-4P,ios,c1k,c1100,
C1117-4PLTEEA,ios,c1k,c1100,
C1117-4PLTEEAWA,ios,c1k,c1100,
C1117-4PLTEEAWE,ios,c1k,c1100,
C1117-4PLTELA,ios,c1k,c1100,
C1117-4PLTELAWZ,ios,c1k,c1100,
C1117-4PM,ios,c1k,c1100,
C1117-4PMLTEEA,ios,c1k,c1100,
C1117-4PMLTEEAWE,ios,c1k,c1100,
C1117-4PMWE,ios,c1k,c1100,
C1117-4PWA,ios,c1k,c1100,
C1117-4PWE,ios,c1k,c1100,
C1117-4PWZ,ios,c1k,c1100,
C1118-8P,ios,c1k,c1100,
C1121-4P,ios,c1k,c1100,
C1121-4PLTEP,ios,c1k,c1100,
C1121-8P,ios,c1k,c1100,
C1121-8PLTEP,ios,c1k,c1100,
C1121-8PLTEPWB,ios,c1k,c1100,
C1121-8PLTEPWE,ios,c1k,c1100,
C1121-8PLTEPWQ,ios,c1k,c1100,
C1121-8PLTEPWZ,ios,c1k,c1100,
C1121X-8P,ios,c1k,c1100,
C1121X-8PLTEP,ios,c1k,c1100,
C1121X-8PLTEPWA,ios,c1k,c1100,
C1121X-8PLTEPWB,ios,c1k,c1100,
C1121X-8PLTEPWE,ios,c1k,c1100,
C1121X-8PLTEPWZ,ios,c1k,c1100,
C1126-8PLTEP,ios,c1k,c1100,
C1126X-8PLTEP,ios,c1k,c1100,
C1127-8PLTEP,ios,c1k,c1100,
C1127-8PMLTEP,ios,c1k,c1100,
C1127X-8PLTEP,ios,c1k,c1100,
C1127X-8PMLTEP,ios,c1k,c1100,
C1128-8PLTEP,ios,c1k,c1100,
C1161-8P,ios,c1k,c1100,
C1161-8PLTEP,ios,c1k,c1100,
C1161X-8P,ios,c1k,c1100,
C1161X-8PLTEP,ios,c1k,c1100,
C1861-SRST-B/K9,ios,c1k,c1800,
C1861-SRST-C-B/K9,ios,c1k,c1800,
C1861-SRST-C-F/K9,ios,c1k,c1800,
C1861-SRST-F/K9,ios,c1k,c1800,
C1861-UC-2BRI-K9,ios,c1k,c1800,
C1861-UC-4FXO-K9,ios,c1k,c1800,
C1861W-SRST-B/K9,ios,c1k,c1800,
C1861W-SRST-C-B/K9,ios,c1k,c1800,
C1861W-SRST-C-F/K9,ios,c1k,c1800,
C1861W-SRST-F/K9,ios,c1k,c1800,
C1861W-UC-2BRI-K9,ios,c1k,c1800,
C1861W-UC-4FXO-K9,ios,c1k,c1800,
C3270ENC-FO-K9,ios,c3k,c3200,
C3270ENC-K9,ios,c3k,c3200,
C3825-NOVPN,ios,c3k,c3800,
C3845-NOVPN,ios,c3k,c3800,
C6800IA-48FPD,iosxe,cat6k,c6800,
C6800IA-48FPDR,iosxe,cat6k,c6800,
C6800IA-48TD,iosxe,cat6k,c6800,
C6807-XL,iosxe,cat6k,c6800,
C6816-X-LE,iosxe,cat6k,c6800,
C6824-X-LE-40G,iosxe,cat6k,c6800,
C6832-X-LE,iosxe,cat6k,c6800,
C6840-X-LE-40G,iosxe,cat6k,c6800,
C6880-X,iosxe,cat6k,c6800,
C6880-X-LE,iosxe,cat6k,c6800,
C8000V,iosxe,cat8k,c8000v,
C8200-1N-4T,iosxe,cat8k,c8200,
C8200-UCPE-1N8,iosxe,cat8k,c8200,
C8500-12X,iosxe,cat8k,c8500,
C8500-12X4QC,iosxe,cat8k,c8500,
C8500L-8S4X,iosxe,cat8k,c8500,
C8510-CHAS5,iosxe,cat8k,c8500,
C8510CSR-SKIT-AC,iosxe,cat8k,c8500,
C8540-CHAS13,iosxe,cat8k,c8500,
C8540CSR-SKIT-AC,iosxe,cat8k,c8500,
C9105AXI-A,cheetah,ap,c9100ap,
C9105AXI-B,cheetah,ap,c9100ap,
C9105AXI-C,cheetah,ap,c9100ap,
C9105AXI-D,cheetah,ap,c9100ap,
C9105AXI-E,cheetah,ap,c9100ap,
C9105AXI-F,cheetah,ap,c9100ap,
C9105AXI-G,cheetah,ap,c9100ap,
C9105AXI-H,cheetah,ap,c9100ap,
C9105AXI-I,cheetah,ap,c9100ap,
C9105AXI-K,cheetah,ap,c9100ap,
C9105AXI-N,cheetah,ap,c9100ap,
C9105AXI-Q,cheetah,ap,c9100ap,
C9105AXI-R,cheetah,ap,c9100ap,
C9105AXI-S,cheetah,ap,c9100ap,
C9105AXI-T,cheetah,ap,c9100ap,
C9105AXI-Z,cheetah,ap,c9100ap,
C9105AXW-A,cheetah,ap,c9100ap,
C9105AXW-B,cheetah,ap,c9100ap,
C9105AXW-C,cheetah,ap,c9100ap,
C9105AXW-D,cheetah,ap,c9100ap,
C9105AXW-E,cheetah,ap,c9100ap,
C9105AXW-F,cheetah,ap,c9100ap,
C9105AXW-G,cheetah,ap,c9100ap,
C9105AXW-H,cheetah,ap,c9100ap,
C9105AXW-I,cheetah,ap,c9100ap,
C9105AXW-K,cheetah,ap,c9100ap,
C9105AXW-N,cheetah,ap,c9100ap,
C9105AXW-Q,cheetah,ap,c9100ap,
C9105AXW-R,cheetah,ap,c9100ap,
C9105AXW-S,cheetah,ap,c9100ap,
C9105AXW-T,cheetah,ap,c9100ap,
C9105AXW-Z,cheetah,ap,c9100ap,
C9115AXE-A,cheetah,ap,c9100ap,
C9115AXE-B,cheetah,ap,c9100ap,
C9115AXE-C,cheetah,ap,c9100ap,
C9115AXE-D,cheetah,ap,c9100ap,
C9115AXE-E,cheetah,ap,c9100ap,
C9115AXE-F,cheetah,ap,c9100ap,
C9115AXE-G,cheetah,ap,c9100ap,
C9115AXE-H,cheetah,ap,c9100ap,
C9115AXE-I,cheetah,ap,c9100ap,
C9115AXE-K,cheetah,ap,c9100ap,
C9115AXE-N,cheetah,ap,c9100ap,
C9115AXE-Q,cheetah,ap,c9100ap,
C9115AXE-R,cheetah,ap,c9100ap,
C9115AXE-S,cheetah,ap,c9100ap,
C9115AXE-T,cheetah,ap,c9100ap,
C9115AXE-Z,cheetah,ap,c9100ap,
C9115AXI-A,cheetah,ap,c9100ap,
C9115AXI-B,cheetah,ap,c9100ap,
C9115AXI-C,cheetah,ap,c9100ap,
C9115AXI-D,cheetah,ap,c9100ap,
C9115AXI-E,cheetah,ap,c9100ap,
C9115AXI-F,cheetah,ap,c9100ap,
C9115AXI-G,cheetah,ap,c9100ap,
C9115AXI-H,cheetah,ap,c9100ap,
C9115AXI-I,cheetah,ap,c9100ap,
C9115AXI-K,cheetah,ap,c9100ap,
C9115AXI-N,cheetah,ap,c9100ap,
C9115AXI-Q,cheetah,ap,c9100ap,
C9115AXI-R,cheetah,ap,c9100ap,
C9115AXI-S,cheetah,ap,c9100ap,
C9115AXI-T,cheetah,ap,c9100ap,
C9115AXI-Z,cheetah,ap,c9100ap,
C9117AXI-A,cheetah,ap,c9100ap,
C9117AXI-B,cheetah,ap,c9100ap,
C9117AXI-C,cheetah,ap,c9100ap,
C9117AXI-D,cheetah,ap,c9100ap,
C9117AXI-E,cheetah,ap,c9100ap,
C9117AXI-F,cheetah,ap,c9100ap,
C9117AXI-G,cheetah,ap,c9100ap,
C9117AXI-H,cheetah,ap,c9100ap,
C9117AXI-I,cheetah,ap,c9100ap,
C9117AXI-K,cheetah,ap,c9100ap,
C9117AXI-N,cheetah,ap,c9100ap,
C9117AXI-Q,cheetah,ap,c9100ap,
C9117AXI-R,cheetah,ap,c9100ap,
C9117AXI-S,cheetah,ap,c9100ap,
C9117AXI-T,cheetah,ap,c9100ap,
C9117AXI-Z,cheetah,ap,c9100ap,
C9120AXE-A,cheetah,ap,c9100ap,
C9120AXE-B,cheetah,ap,c9100ap,
C9120AXE-C,cheetah,ap,c9100ap,
C9120AXE-D,cheetah,ap,c9100ap,
C9120AXE-E,cheetah,ap,c9100ap,
C9120AXE-F,cheetah,ap,c9100ap,
C9120AXE-G,cheetah,ap,c9100ap,
C9120AXE-H,cheetah,ap,c9100ap,
C9120AXE-I,cheetah,ap,c9100ap,
C9120AXE-K,cheetah,ap,c9100ap,
C9120AXE-N,cheetah,ap,c9100ap,
C9120AXE-Q,cheetah,ap,c9100ap,
C9120AXE-R,cheetah,ap,c9100ap,
C9120AXE-S,cheetah,ap,c9100ap,
C9120AXE-T,cheetah,ap,c9100ap,
C9120AXE-Z,cheetah,ap,c9100ap,
C9120AXI-A,cheetah,ap,c9100ap,
C9120AXI-B,cheetah,ap,c9100ap,
C9120AXI-C,cheetah,ap,c9100ap,
C9120AXI-D,cheetah,ap,c9100ap,
C9120AXI-E,cheetah,ap,c9100ap,
C9120AXI-F,cheetah,ap,c9100ap,
C9120AXI-G,cheetah,ap,c9100ap,
C9120AXI-H,cheetah,ap,c9100ap,
C9120AXI-I,cheetah,ap,c9100ap,
C9120AXI-K,cheetah,ap,c9100ap,
C9120AXI-N,cheetah,ap,c9100ap,
C9120AXI-Q,cheetah,ap,c9100ap,
C9120AXI-R,cheetah,ap,c9100ap,
C9120AXI-S,cheetah,ap,c9100ap,
C9120AXI-T,cheetah,ap,c9100ap,
C9120AXI-Z,cheetah,ap,c9100ap,
C9120AXP-A,cheetah,ap,c9100ap,
C9120AXP-B,cheetah,ap,c9100ap,
C9120AXP-C,cheetah,ap,c9100ap,
C9120AXP-D,cheetah,ap,c9100ap,
C9120AXP-E,cheetah,ap,c9100ap,
C9120AXP-F,cheetah,ap,c9100ap,
C9120AXP-G,cheetah,ap,c9100ap,
C9120AXP-H,cheetah,ap,c9100ap,
C9120AXP-I,cheetah,ap,c9100ap,
C9120AXP-K,cheetah,ap,c9100ap,
C9120AXP-N,cheetah,ap,c9100ap,
C9120AXP-Q,cheetah,ap,c9100ap,
C9120AXP-R,cheetah,ap,c9100ap,
C9120AXP-S,cheetah,ap,c9100ap,
C9120AXP-T,cheetah,ap,c9100ap,
C9120AXP-Z,cheetah,ap,c9100ap,
C9130AXE-A,cheetah,ap,c9100ap,
C9130AXE-B,cheetah,ap,c9100ap,
C9130AXE-C,cheetah,ap,c9100ap,
C9130AXE-D,cheetah,ap,c9100ap,
C9130AXE-E,cheetah,ap,c9100ap,
C9130AXE-F,cheetah,ap,c9100ap,
C9130AXE-G,cheetah,ap,c9100ap,
C9130AXE-H,cheetah,ap,c9100ap,
C9130AXE-I,cheetah,ap,c9100ap,
C9130AXE-K,cheetah,ap,c9100ap,
C9130AXE-N,cheetah,ap,c9100ap,
C9130AXE-Q,cheetah,ap,c9100ap,
C9130AXE-R,cheetah,ap,c9100ap,
C9130AXE-S,cheetah,ap,c9100ap,
C9130AXE-T,cheetah,ap,c9100ap,
C9130AXE-Z,cheetah,ap,c9100ap,
C9130AXI-A,cheetah,ap,c9100ap,
C9130AXI-B,cheetah,ap,c9100ap,
C9130AXI-C,cheetah,ap,c9100ap,
C9130AXI-D,cheetah,ap,c9100ap,
C9130AXI-E,cheetah,ap,c9100ap,
C9130AXI-F,cheetah,ap,c9100ap,
C9130AXI-G,cheetah,ap,c9100ap,
C9130AXI-H,cheetah,ap,c9100ap,
C9130AXI-I,cheetah,ap,c9100ap,
C9130AXI-K,cheetah,ap,c9100ap,
C9130AXI-N,cheetah,ap,c9100ap,
C9130AXI-Q,cheetah,ap,c9100ap,
C9130AXI-R,cheetah,ap,c9100ap,
C9130AXI-S,cheetah,ap,c9100ap,
C9130AXI-T,cheetah,ap,c9100ap,
C9130AXI-Z,cheetah,ap,c9100ap,
C9200-24P,iosxe,cat9k,c9200,
C9200-24PB,iosxe,cat9k,c9200,
C9200-24PXG,iosxe,cat9k,c9200,
C9200-24T,iosxe,cat9k,c9200,
C9200-48P,iosxe,cat9k,c9200,
C9200-48PB,iosxe,cat9k,c9200,
C9200-48PL,iosxe,cat9k,c9200,
C9200-48PXG,iosxe,cat9k,c9200,
C9200-48T,iosxe,cat9k,c9200,
C9200L-24P-4G,iosxe,cat9k,c9200,
C9200L-24P-4X,iosxe,cat9k,c9200,
C9200L-24PXG-2Y,iosxe,cat9k,c9200,
C9200L-24PXG-4X,iosxe,cat9k,c9200,
C9200L-24T-4G,iosxe,cat9k,c9200,
C9200L-24T-4X,iosxe,cat9k,c9200,
C9200L-48P-4G,iosxe,cat9k,c9200,
C9200L-48P-4X,iosxe,cat9k,c9200,
C9200L-48PL-4G,iosxe,cat9k,c9200,
C9200L-48PL-4X,iosxe,cat9k,c9200,
C9200L-48PXG-2Y,iosxe,cat9k,c9200,
C9200L-48PXG-4X,iosxe,cat9k,c9200,
C9200L-48T-4G,iosxe,cat9k,c9200,
C9200L-48T-4X,iosxe,cat9k,c9200,
C9300-24H,iosxe,cat9k,c9300,
C9300-24P,iosxe,cat9k,c9300,
C9300-24S,iosxe,cat9k,c9300,
C9300-24T,iosxe,cat9k,c9300,
C9300-24U,iosxe,cat9k,c9300,
C9300-24UB,iosxe,cat9k,c9300,
C9300-24UX,iosxe,cat9k,c9300,
C9300-24UXB,iosxe,cat9k,c9300,
C9300-48H,iosxe,cat9k,c9300,
C9300-48P,iosxe,cat9k,c9300,
C9300-48S,iosxe,cat9k,c9300,
C9300-48T,iosxe,cat9k,c9300,
C9300-48U,iosxe,cat9k,c9300,
C9300-48UB,iosxe,cat9k,c9300,
C9300-48UN,iosxe,cat9k,c9300,
C9300-48UXM,iosxe,cat9k,c9300,
C9300L-24P-4G,iosxe,cat9k,c9300,
C9300L-24P-4X,iosxe,cat9k,c9300,
C9300L-24T-4G,iosxe,cat9k,c9300,
C9300L-24T-4X,iosxe,cat9k,c9300,
C9300L-24UXG-2Q,iosxe,cat9k,c9300,
C9300L-24UXG-4X,iosxe,cat9k,c9300,
C9300L-48P-4G,iosxe,cat9k,c9300,
C9300L-48P-4X,iosxe,cat9k,c9300,
C9300L-48PF-4G,iosxe,cat9k,c9300,
C9300L-48PF-4X,iosxe,cat9k,c9300,
C9300L-48T-4G,iosxe,cat9k,c9300,
C9300L-48T-4X,iosxe,cat9k,c9300,
C9300L-48UXG-2Q,iosxe,cat9k,c9300,
C9300L-48UXG-4X,iosxe,cat9k,c9300,
C9404R,iosxe,cat9k,c9400,
C9407R,iosxe,cat9k,c9400,
C9410R,iosxe,cat9k,c9400,
C9500-12Q,iosxe,cat9k,c9500,
C9500-16X,iosxe,cat9k,c9500,
C9500-24Q,iosxe,cat9k,c9500,
C9500-24Y4C,iosxe,cat9k,c9500,
C9500-32C,iosxe,cat9k,c9500,
C9500-32QC,iosxe,cat9k,c9500,
C9500-40X,iosxe,cat9k,c9500,
C9500-48Y4C,iosxe,cat9k,c9500,
C9606R,iosxe,cat9k,c9600,
C9800-40-K9,iosxe,cat9k,c9800,
C9800-80-K9,iosxe,cat9k,c9800,
C9800-CL-K9,iosxe,cat9k,c9800,c9800cl
C9800-L-C-K9,iosxe,cat9k,c9800,c9800l
C9800-L-F-K9,iosxe,cat9k,c9800,c9800l
CGR-2010/K9,ios,c2k,c2000,
CGR1120/K9,ios,c1k,c1100,
CGR1240/K9,ios,c1k,c1200,
CHAS-7505,ios,c7k,c7500,
CHAS-7505-DC,ios,c7k,c7500,
CHAS-7507,ios,c7k,c7500,
CHAS-7507-DC,ios,c7k,c7500,
CHAS-7513,ios,c7k,c7500,
CHAS-7513-DC,ios,c7k,c7500,
CHAS-7576,ios,c7k,c7500,
CHAS-7576-DC,ios,c7k,c7500,
CISCO1001,ios,c1k,c1000,
CISCO1002,ios,c1k,c1000,
CISCO1003,ios,c1k,c1000,
CISCO1004,ios,c1k,c1000,
CISCO1004-I,ios,c1k,c1000,
CISCO1005,ios,c1k,c1000,
CISCO1020,ios,c1k,c1000,
CISCO1401,ios,c1k,c1400,
CISCO1407,ios,c1k,c1400,
CISCO1417,ios,c1k,c1400,
CISCO1601,ios,c1k,c1600,
CISCO1601-R,ios,c1k,c1600,
CISCO1602,ios,c1k,c1600,
CISCO1602-R,ios,c1k,c1600,
CISCO1603,ios,c1k,c1600,
CISCO1603-R,ios,c1k,c1600,
CISCO1604,ios,c1k,c1600,
CISCO1604-R,ios,c1k,c1600,
CISCO1605-R,ios,c1k,c1600,
CISCO1701-K9,ios,c1k,c1700,
CISCO1710-VPN-M/K9,ios,c1k,c1700,
CISCO1711-VPN/K9,ios,c1k,c1700,
CISCO1712-VPN/K9,ios,c1k,c1700,
CISCO1718,ios,c1k,c1700,
CISCO1720,ios,c1k,c1700,
CISCO1721,ios,c1k,c1700,
CISCO1750,ios,c1k,c1700,
CISCO1750-2V,ios,c1k,c1700,
CISCO1750-4V,ios,c1k,c1700,
CISCO1750-ADSL,ios,c1k,c1700,
CISCO1751,ios,c1k,c1700,
CISCO1760,ios,c1k,c1700,
CISCO1801,ios,c1k,c1800,
